t , y
0.0 , [1. 0.]
0.5 , [-0.21354167  0.97395833]
1.0 , [-1.37729221  2.90412055]
1.5 , [-3.94862934  7.93814747]
2.0 , [-10.75394043  21.5190614 ]
2.5 , [-29.1415894   58.28623597]
3.0 , [-78.92960429 157.86004452]
3.5 , [-213.76889954  427.53802767]
4.0 , [-578.95777021 1157.91560292]
4.5 , [-1568.01071896  3136.021455  ]
5.0 , [-4246.69572214  8493.39144895]
5.5 , [-11501.46758762  23002.93517652]
6.0 , [-31149.80805167  62299.61610369]
6.5 , [-84364.06347379 168728.12694767]
7.0 , [-228486.00524164  456972.01048331]
7.5 , [-618816.26419615 1237632.52839231]
8.0 , [-1675960.71553125  3351921.4310625 ]
8.5 , [-4539060.27123047  9078120.54246094]
9.0 , [-12293288.23458252  24586576.46916505]
9.5 , [-33294322.30199433  66588644.60398867]
10.0 , [-9.01721229e+07  1.80344246e+08]
10.5 , [-2.44216166e+08  4.88432332e+08]
11.0 , [-6.61418783e+08  1.32283757e+09]
11.5 , [-1.79134254e+09  3.58268508e+09]
12.0 , [-4.85155271e+09  9.70310542e+09]
12.5 , [-1.31396219e+10  2.62792438e+10]
13.0 , [-3.55864760e+10  7.11729521e+10]
13.5 , [-9.63800392e+10  1.92760078e+11]
14.0 , [-2.61029273e+11  5.22058546e+11]
14.5 , [-7.06954281e+11  1.41390856e+12]
15.0 , [-1.91466784e+12  3.82933569e+12]
15.5 , [-5.18555874e+12  1.03711175e+13]
16.0 , [-1.40442216e+13  2.80884432e+13]
16.5 , [-3.80364335e+13  7.60728670e+13]
17.0 , [-1.03015341e+14  2.06030681e+14]
17.5 , [-2.78999881e+14  5.57999762e+14]
18.0 , [-7.55624678e+14  1.51124936e+15]
18.5 , [-2.04648350e+15  4.09296701e+15]
19.0 , [-5.54255949e+15  1.10851190e+16]
19.5 , [-1.50110986e+16  3.00221972e+16]
20.0 , [-4.06550587e+16  8.13101175e+16]
20.5 , [-1.10107451e+17  2.20214902e+17]
21.0 , [-2.98207679e+17  5.96415358e+17]
21.5 , [-8.07645798e+17  1.61529160e+18]
22.0 , [-2.18737404e+18  4.37474807e+18]
22.5 , [-5.92413801e+18  1.18482760e+19]
23.0 , [-1.60445405e+19  3.20890809e+19]
23.5 , [-4.34539637e+19  8.69079274e+19]
24.0 , [-1.17687818e+20  2.35375637e+20]
24.5 , [-3.18737842e+20  6.37475683e+20]
25.0 , [-8.63248321e+20  1.72649664e+21]
25.5 , [-2.3379642e+21  4.6759284e+21]
26.0 , [-6.33198638e+21  1.26639728e+22]
26.5 , [-1.71491298e+22  3.42982596e+22]
27.0 , [-4.64455598e+22  9.28911196e+22]
27.5 , [-1.25790058e+23  2.51580116e+23]
28.0 , [-3.40681407e+23  6.81362813e+23]
28.5 , [-9.22678810e+23  1.84535762e+24]
29.0 , [-2.49892178e+24  4.99784355e+24]
29.5 , [-6.76791314e+24  1.35358263e+25]
30.0 , [-1.83297648e+25  3.66595295e+25]
30.5 , [-4.96431129e+25  9.92862258e+25]
31.0 , [-1.34450097e+26  2.68900195e+26]
31.5 , [-3.64135681e+26  7.28271361e+26]
32.0 , [-9.86200802e+26  1.97240160e+27]
32.5 , [-2.67096050e+27  5.34192101e+27]
33.0 , [-7.23385137e+27  1.44677027e+28]
33.5 , [-1.95916808e+28  3.91833616e+28]
34.0 , [-5.30608021e+28  1.06121604e+29]
34.5 , [-1.43706339e+29  2.87412678e+29]
35.0 , [-3.89204668e+29  7.78409337e+29]
35.5 , [-1.05409598e+30  2.10819195e+30]
36.0 , [-2.85484327e+30  5.70968654e+30]
36.5 , [-7.73186719e+30  1.54637344e+31]
37.0 , [-2.09404736e+31  4.18809473e+31]
37.5 , [-5.67137828e+31  1.13427566e+32]
38.0 , [-1.53599828e+32  3.07199657e+32]
38.5 , [-4.15999535e+32  8.31999070e+32]
39.0 , [-1.12666541e+33  2.25333082e+33]
39.5 , [-3.05138548e+33  6.10277096e+33]
40.0 , [-8.26416901e+33  1.65283380e+34]
40.5 , [-2.23821244e+34  4.47642488e+34]
41.0 , [-6.06182536e+34  1.21236507e+35]
41.5 , [-1.64174437e+35  3.28348873e+35]
42.0 , [-4.44639100e+35  8.89278199e+35]
42.5 , [-1.20423089e+36  2.40846179e+36]
43.0 , [-3.26145867e+36  6.52291735e+36]
43.5 , [-8.83311724e+36  1.76662345e+37]
44.0 , [-2.39230259e+37  4.78460517e+37]
44.5 , [-6.47915284e+37  1.29583057e+38]
45.0 , [-1.75477056e+38  3.50954112e+38]
45.5 , [-4.7525036e+38  9.5050072e+38]
46.0 , [-1.28713639e+39  2.57427278e+39]
46.5 , [-3.48599439e+39  6.97198879e+39]
47.0 , [-9.44123482e+39  1.88824696e+40]
47.5 , [-2.55700110e+40  5.11400219e+40]
48.0 , [-6.92521130e+40  1.38504226e+41]
48.5 , [-1.87557806e+41  3.75115612e+41]
49.0 , [-5.07969058e+41  1.01593812e+42]
49.5 , [-1.37574953e+42  2.75149906e+42]
50.0 , [-3.72598832e+42  7.45197663e+42]
