t , y
0.0 , [1. 0.]
0.5 , [-1.  1.]
1.0 , [-0.5  1.5]
1.5 , [-1.75  3.25]
2.0 , [-3.125  6.375]
2.5 , [-6.4375 12.8125]
3.0 , [-12.78125  25.59375]
3.5 , [-25.609375  51.203125]
4.0 , [-51.1953125 102.3984375]
4.5 , [-102.40234375  204.80078125]
5.0 , [-204.79882812  409.59960938]
5.5 , [-409.60058594  819.20019531]
6.0 , [-819.19970703 1638.39990234]
6.5 , [-1638.40014648  3276.80004883]
7.0 , [-3276.79992676  6553.59997559]
7.5 , [-6553.60003662 13107.20001221]
8.0 , [-13107.19998169  26214.3999939 ]
8.5 , [-26214.40000916  52428.80000305]
9.0 , [-52428.79999542 104857.59999847]
9.5 , [-104857.60000229  209715.20000076]
10.0 , [-209715.19999886  419430.39999962]
10.5 , [-419430.40000057  838860.80000019]
11.0 , [-838860.79999971 1677721.5999999 ]
11.5 , [-1677721.60000014  3355443.20000005]
12.0 , [-3355443.19999993  6710886.39999998]
12.5 , [-6710886.40000004 13421772.80000001]
13.0 , [-13421772.79999998  26843545.59999999]
13.5 , [-26843545.60000001  53687091.2       ]
14.0 , [-5.36870912e+07  1.07374182e+08]
14.5 , [-1.07374182e+08  2.14748365e+08]
15.0 , [-2.14748365e+08  4.29496730e+08]
15.5 , [-4.29496730e+08  8.58993459e+08]
16.0 , [-8.58993459e+08  1.71798692e+09]
16.5 , [-1.71798692e+09  3.43597384e+09]
17.0 , [-3.43597384e+09  6.87194767e+09]
17.5 , [-6.87194767e+09  1.37438953e+10]
18.0 , [-1.37438953e+10  2.74877907e+10]
18.5 , [-2.74877907e+10  5.49755814e+10]
19.0 , [-5.49755814e+10  1.09951163e+11]
19.5 , [-1.09951163e+11  2.19902326e+11]
20.0 , [-2.19902326e+11  4.39804651e+11]
20.5 , [-4.39804651e+11  8.79609302e+11]
21.0 , [-8.79609302e+11  1.75921860e+12]
21.5 , [-1.75921860e+12  3.51843721e+12]
22.0 , [-3.51843721e+12  7.03687442e+12]
22.5 , [-7.03687442e+12  1.40737488e+13]
23.0 , [-1.40737488e+13  2.81474977e+13]
23.5 , [-2.81474977e+13  5.62949953e+13]
24.0 , [-5.62949953e+13  1.12589991e+14]
24.5 , [-1.12589991e+14  2.25179981e+14]
25.0 , [-2.25179981e+14  4.50359963e+14]
25.5 , [-4.50359963e+14  9.00719925e+14]
26.0 , [-9.00719925e+14  1.80143985e+15]
26.5 , [-1.80143985e+15  3.60287970e+15]
27.0 , [-3.6028797e+15  7.2057594e+15]
27.5 , [-7.20575940e+15  1.44115188e+16]
28.0 , [-1.44115188e+16  2.88230376e+16]
28.5 , [-2.88230376e+16  5.76460752e+16]
29.0 , [-5.76460752e+16  1.15292150e+17]
29.5 , [-1.15292150e+17  2.30584301e+17]
30.0 , [-2.30584301e+17  4.61168602e+17]
30.5 , [-4.61168602e+17  9.22337204e+17]
31.0 , [-9.22337204e+17  1.84467441e+18]
31.5 , [-1.84467441e+18  3.68934881e+18]
32.0 , [-3.68934881e+18  7.37869763e+18]
32.5 , [-7.37869763e+18  1.47573953e+19]
33.0 , [-1.47573953e+19  2.95147905e+19]
33.5 , [-2.95147905e+19  5.90295810e+19]
34.0 , [-5.90295810e+19  1.18059162e+20]
34.5 , [-1.18059162e+20  2.36118324e+20]
35.0 , [-2.36118324e+20  4.72236648e+20]
35.5 , [-4.72236648e+20  9.44473297e+20]
36.0 , [-9.44473297e+20  1.88894659e+21]
36.5 , [-1.88894659e+21  3.77789319e+21]
37.0 , [-3.77789319e+21  7.55578637e+21]
37.5 , [-7.55578637e+21  1.51115727e+22]
38.0 , [-1.51115727e+22  3.02231455e+22]
38.5 , [-3.02231455e+22  6.04462910e+22]
39.0 , [-6.04462910e+22  1.20892582e+23]
39.5 , [-1.20892582e+23  2.41785164e+23]
40.0 , [-2.41785164e+23  4.83570328e+23]
40.5 , [-4.83570328e+23  9.67140656e+23]
41.0 , [-9.67140656e+23  1.93428131e+24]
41.5 , [-1.93428131e+24  3.86856262e+24]
42.0 , [-3.86856262e+24  7.73712525e+24]
42.5 , [-7.73712525e+24  1.54742505e+25]
43.0 , [-1.54742505e+25  3.09485010e+25]
43.5 , [-3.0948501e+25  6.1897002e+25]
44.0 , [-6.18970020e+25  1.23794004e+26]
44.5 , [-1.23794004e+26  2.47588008e+26]
45.0 , [-2.47588008e+26  4.95176016e+26]
45.5 , [-4.95176016e+26  9.90352031e+26]
46.0 , [-9.90352031e+26  1.98070406e+27]
46.5 , [-1.98070406e+27  3.96140813e+27]
47.0 , [-3.96140813e+27  7.92281625e+27]
47.5 , [-7.92281625e+27  1.58456325e+28]
48.0 , [-1.58456325e+28  3.16912650e+28]
48.5 , [-3.1691265e+28  6.3382530e+28]
49.0 , [-6.3382530e+28  1.2676506e+29]
49.5 , [-1.2676506e+29  2.5353012e+29]
50.0 , [-2.5353012e+29  5.0706024e+29]
