t , y
0.0 , [1. 0.]
0.5 , [0.25 0.75]
1.0 , [-0.78125  2.34375]
1.5 , [-2.83203125  6.15234375]
2.0 , [-7.62939453 15.56396484]
2.5 , [-19.41680908  39.02435303]
3.0 , [-48.75659943  97.63240814]
3.5 , [-122.02560902  244.12572384]
4.0 , [-305.14784157  610.34224927]
4.5 , [-762.92199083 1525.87308548]
5.0 , [-1907.33771888  3814.69362765]
5.5 , [-4768.36476082  9536.74089033]
6.0 , [-11920.92469182  23841.85648907]
6.5 , [-29802.31972316  59604.64388721]
7.0 , [-74505.8043039  149011.61138337]
7.5 , [-186264.51388226  372529.02949925]
8.0 , [-465661.28665722  931322.57439864]
8.5 , [-1164153.21786277  2328306.43640317]
9.0 , [-2910383.04541926  5820766.09126204]
9.5 , [-7275957.61402461 14551915.22831392]
10.0 , [-18189894.0353593   36379788.07088405]
10.5 , [-45474735.08858438  90949470.17727216]
11.0 , [-1.13686838e+08  2.27373675e+08]
11.5 , [-2.84217094e+08  5.68434189e+08]
12.0 , [-7.10542736e+08  1.42108547e+09]
12.5 , [-1.77635684e+09  3.55271368e+09]
13.0 , [-4.4408921e+09  8.8817842e+09]
13.5 , [-1.11022302e+10  2.22044605e+10]
14.0 , [-2.77555756e+10  5.55111512e+10]
14.5 , [-6.93889390e+10  1.38777878e+11]
15.0 , [-1.73472348e+11  3.46944695e+11]
15.5 , [-4.33680869e+11  8.67361738e+11]
16.0 , [-1.08420217e+12  2.16840434e+12]
16.5 , [-2.71050543e+12  5.42101086e+12]
17.0 , [-6.77626358e+12  1.35525272e+13]
17.5 , [-1.69406589e+13  3.38813179e+13]
18.0 , [-4.23516474e+13  8.47032947e+13]
18.5 , [-1.05879118e+14  2.11758237e+14]
19.0 , [-2.64697796e+14  5.29395592e+14]
19.5 , [-6.61744490e+14  1.32348898e+15]
20.0 , [-1.65436123e+15  3.30872245e+15]
20.5 , [-4.13590306e+15  8.27180613e+15]
21.0 , [-1.03397577e+16  2.06795153e+16]
21.5 , [-2.58493941e+16  5.16987883e+16]
22.0 , [-6.46234854e+16  1.29246971e+17]
22.5 , [-1.61558713e+17  3.23117427e+17]
23.0 , [-4.03896783e+17  8.07793567e+17]
23.5 , [-1.00974196e+18  2.01948392e+18]
24.0 , [-2.52435490e+18  5.04870979e+18]
24.5 , [-6.31088724e+18  1.26217745e+19]
25.0 , [-1.57772181e+19  3.15544362e+19]
25.5 , [-3.94430453e+19  7.88860905e+19]
26.0 , [-9.86076132e+19  1.97215226e+20]
26.5 , [-2.46519033e+20  4.93038066e+20]
27.0 , [-6.16297582e+20  1.23259516e+21]
27.5 , [-1.54074396e+21  3.08148791e+21]
28.0 , [-3.85185989e+21  7.70371978e+21]
28.5 , [-9.62964972e+21  1.92592994e+22]
29.0 , [-2.40741243e+22  4.81482486e+22]
29.5 , [-6.01853108e+22  1.20370622e+23]
30.0 , [-1.50463277e+23  3.00926554e+23]
30.5 , [-3.76158192e+23  7.52316385e+23]
31.0 , [-9.40395481e+23  1.88079096e+24]
31.5 , [-2.3509887e+24  4.7019774e+24]
32.0 , [-5.87747175e+24  1.17549435e+25]
32.5 , [-1.46936794e+25  2.93873588e+25]
33.0 , [-3.67341985e+25  7.34683969e+25]
33.5 , [-9.18354962e+25  1.83670992e+26]
34.0 , [-2.29588740e+26  4.59177481e+26]
34.5 , [-5.73971851e+26  1.14794370e+27]
35.0 , [-1.43492963e+27  2.86985925e+27]
35.5 , [-3.58732407e+27  7.17464814e+27]
36.0 , [-8.96831017e+27  1.79366203e+28]
36.5 , [-2.24207754e+28  4.48415509e+28]
37.0 , [-5.60519386e+28  1.12103877e+29]
37.5 , [-1.40129846e+29  2.80259693e+29]
38.0 , [-3.50324616e+29  7.00649232e+29]
38.5 , [-8.75811540e+29  1.75162308e+30]
39.0 , [-2.18952885e+30  4.37905770e+30]
39.5 , [-5.47382213e+30  1.09476443e+31]
40.0 , [-1.36845553e+31  2.73691106e+31]
40.5 , [-3.42113883e+31  6.84227766e+31]
41.0 , [-8.55284707e+31  1.71056941e+32]
41.5 , [-2.13821177e+32  4.27642354e+32]
42.0 , [-5.34552942e+32  1.06910588e+33]
42.5 , [-1.33638236e+33  2.67276471e+33]
43.0 , [-3.34095589e+33  6.68191178e+33]
43.5 , [-8.35238972e+33  1.67047794e+34]
44.0 , [-2.08809743e+34  4.17619486e+34]
44.5 , [-5.22024357e+34  1.04404871e+35]
45.0 , [-1.30506089e+35  2.61012179e+35]
45.5 , [-3.26265223e+35  6.52530447e+35]
46.0 , [-8.15663058e+35  1.63132612e+36]
46.5 , [-2.03915765e+36  4.07831529e+36]
47.0 , [-5.09789412e+36  1.01957882e+37]
47.5 , [-1.27447353e+37  2.54894706e+37]
48.0 , [-3.18618382e+37  6.37236764e+37]
48.5 , [-7.96545956e+37  1.59309191e+38]
49.0 , [-1.99136489e+38  3.98272978e+38]
49.5 , [-4.97841222e+38  9.95682444e+38]
50.0 , [-1.24460306e+39  2.48920611e+39]
